"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Marou,"Dak Lak, Batch 2451",1650,2015,70%,Vietnam,3.75,Trinitario,Vietnam
Pierre Marcolini,Cabosse,111,2007,70%,Belgium,4.0,Blend,"Venezuela, Java"
Pralus,Jamaique,32,2006,75%,France,4.0,Trinitario,Jamaica
Molucca,Peru,1618,2015,70%,U.S.A.,3.25, ,Peru
Indah,India (south),1788,2016,61%,India,2.5, ,India
Bonnat,Ceylan,81,2006,75%,France,3.0, ,Sri Lanka
Mast Brothers,"Chuao, Med. Roast",701,2011,76%,U.S.A.,3.0,Trinitario,Venezuela
"Smooth Chocolator, The",Camino Verde,1622,2015,72%,Australia,4.0, ,Ecuador
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3.25,Trinitario,Brazil
Hummingbird,"Ocumare, Cumboto",1097,2013,70%,Canada,3.25,"Trinitario, Criollo",Venezuela
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,85%,Austria,3.0,"Criollo, Trinitario",Tanzania
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",153,2007,65%,U.S.A.,3.0,Forastero (Arriba),Ecuador
Hogarth,Conacado,1712,2016,75%,New Zealand,3.25,Trinitario,Domincan Republic
Q Chocolate,Brazil,1069,2013,80%,Brazil,3.25, ,Brazil
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72%,U.K.,3.0,Forastero,Sao Tome
Solomons Gold,Solomon Island w/ nibs,1796,2016,75%,New Zealand,3.25, ,Solomon Islands
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3.0,Trinitario,Ecuador
Suruca Chocolate,Venezuela,1796,2016,60%,Venezuela,3.0, ,Venezuela
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75, ,Venezuela
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3.0,Forastero (Arriba),Ecuador
"Smooth Chocolator, The",Bolivia,1626,2015,72%,Australia,2.75, ,Bolivia
Map Chocolate,"ROIG, 2014",1474,2015,70%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Somerville,Nicaragua,1367,2014,70%,U.S.A.,3.25, ,Nicaragua
TCHO,Nutty-beta,284,2008,70%,U.S.A.,2.5, ,Peru
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Valrhona,Caraibe,63,2006,66%,France,3.0,Trinitario,Carribean
Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70%,Poland,3.25, ,Ecuador
Mindo,Ecuador,607,2010,77%,U.S.A.,2.75, ,Ecuador
S.A.I.D.,Malgascio,607,2010,64%,Italy,3.5,Trinitario,Madagascar
Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,72%,U.S.A.,3.25, ,Hawaii
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru
Omanhene,Ghana,693,2011,80%,Ghana,2.75,Forastero,Ghana
Silvio Bessone,Maya Belize,717,2011,67%,Italy,3.0,Criollo,Belize
Pralus,"Barlovento, Venezuela",32,2006,75%,France,3.5,Trinitario,Venezuela
Friis Holm (Bonnat),La Dalia,1680,2015,60%,Denmark,3.0, ,Nicaragua
Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",162,2007,64%,France,3.25,Criollo (Porcelana),Venezuela
Condor,Camino Verde,1630,2015,76%,U.S.A.,3.5, ,Ecuador
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,65%,U.S.A.,3.25, ,Hawaii
Zak's,"Dominican Republic, Batch D2",1578,2015,70%,U.S.A.,3.25, ,Domincan Republic
Just Good Chocolate,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize
Kto,Belize,1422,2014,72%,U.S.A.,3.0,Trinitario,Belize
Woodblock,Ocumare,741,2011,70%,U.S.A.,4.0, ,Venezuela
Szanto Tibor,Baracoa,1704,2015,88%,Hungary,3.25,Trinitario,Cuba
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Trinitario,Ecuador
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,75%,France,3.5,Forastero,Sao Tome
Mesocacao,El Salvador,1494,2015,80%,Honduras,2.75, ,El Salvador
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74%,U.S.A.,2.75, ,"Cost Rica, Ven"
Taza,"Dark, Stone Ground",180,2007,70%,U.S.A.,3.0, ,Dominican Republic
StRita Supreme,"Samar, East Visayas region",943,2012,75%,U.S.A.,2.75, ,Philippines
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82%,Domincan Republic,3.0, ,Dominican Republic
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru
Soma,Little Big Man,1339,2014,70%,Canada,3.25,Blend,Madagascar & Ecuador
Minimal,"Acul-du-Nord, 2015",1920,2016,70%,Japan,3.5,"Criollo, Trinitario",Haiti
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5, ,Papua New Guinea
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,85%,Belgium,3.0,Criollo,Peru
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5, ,Peru
Danta,Las Acacias E.,423,2009,60%,Guatemala,3.25,Criollo,Guatemala
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5, ,Colombia
Dean and Deluca (Belcolade),Madagascar,170,2007,66%,U.S.A.,2.5,Trinitario,Madagascar
Vivra,Dominican Republic,1724,2016,70%,U.S.A.,3.0, ,Domincan Republic
Roasting Masters,"Tapanti, light roast",1844,2016,70%,South Korea,3.25, ,Costa Rica
Claudio Corallo,Principe,252,2008,100%,Sao Tome,1.0,Forastero,Sao Tome & Principe
Ritual,Costa Rica,745,2011,75%,U.S.A.,3.5, ,Costa Rica
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Matale,"Kulili P., 2013",1177,2013,74%,Australia,4.0,Trinitario,Papua New Guinea
iQ Chocolate,black label,943,2012,72%,Scotland,3.0, ,Peru
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Sirene,Wild Bolivia,1788,2016,73%,Canada,3.5, ,Bolivia
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
Pacari,Garaua,1415,2014,70%,Ecuador,3.25, ,Ecuador
Spencer,"Madagascar, lot M0403R",1792,2016,70%,Australia,3.75, ,Madagascar
Coppeneur,Ecuador Puristique,817,2012,100%,Germany,1.5, ,Ecuador
Lillie Belle,"The Other One, Grand Cru",947,2012,74%,U.S.A.,3.0, ,Dominican Republic
Dick Taylor,La Red,769,2011,74%,U.S.A.,3.0, ,Dominican Republic
Scharffen Berger,San Juan de Cheni,959,2012,78%,U.S.A.,4.0, ,Peru
Machu Picchu Trading Co.,Peru,721,2011,70%,Peru,1.5, ,Peru
Shark Mountain,Cuyagua,1466,2015,77%,U.S.A.,2.75,Criollo,Venezuela
Lillie Belle,Perfect Illusion,855,2012,65%,U.S.A.,3.5,Criollo,Peru
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador
Tocoti,Venezuela,789,2011,72%,U.S.A.,2.75, ,Venezuela
Zak's,"Papua New Guinea, Batch 2",1574,2015,70%,U.S.A.,3.0, ,Papua New Guinea
Belyzium,Belize south,1768,2016,78%,Germany,3.0,Trinitario,Belize
Bonnat,Kaori,1339,2014,75%,France,4.0, ,Brazil
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75, ,Dominican Republic
Tejas,Bayou Blend,801,2012,70%,U.S.A.,3.0,Blend,"Ecuador, Mad., PNG"
Nahua,"Costa Rica, Oscuro",1049,2013,58%,Costa Rica,2.5, ,Costa Rica
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,2.75,Trinitario,Vietnam
Ocho,"PNG, Voodoo",1411,2014,88%,New Zealand,3.25, ,Papua New Guinea
Kto,ROIG,1426,2014,72%,U.S.A.,3.25, ,Dominican Republic
Urzi,"Sur del Lago, Merida",1327,2014,65%,Italy,3.25,Trinitario,Venezuela
Pomm (aka Dead Dog),"La Red, 2011",829,2012,76%,U.S.A.,2.5, ,Dominican Republic
Szanto Tibor,Crudo,761,2011,70%,Hungary,3.0, ,Venezuela
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
TCHO,TCHOPro 60.5,387,2009,60%,U.S.A.,2.75, , 
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66%,U.K.,3.5,"Trinitario, Criollo",Madagascar
Valrhona,Guanaja,63,2006,70%,France,4.0,"Criollo, Trinitario",South America
Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",729,2011,72%,Switzerland,3.25,Criollo,Venezuela
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize
Tsara (Cinagra),"Ambanja, Tsara Valley",753,2011,72%,Madagascar,3.5, ,Madagascar
Domori,"IL100, H. San Jose",1109,2013,100%,Italy,3.0,Criollo,Venezuela
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
Nova Monda,"Punta Galera, cacao Nacional, gold label",935,2012,80%,Nicaragua,3.25,Forastero (Nacional),Ecuador
Habitual,Amazonas,1201,2014,80%,Canada,3.0, , 
Mast Brothers,Tanzania,1450,2015,74%,U.S.A.,3.25, ,Tanzania
Raw Cocoa,Raw,867,2012,70%,Poland,2.5,Criollo, 
Timo A. Meyer,"Belize, med roast",1836,2016,72%,Germany,3.75,"Trinitario, TCGA",Belize
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome
Solstice,Bundibugyo,1335,2014,70%,U.S.A.,3.0,"Forastero, Trinitario",Uganda
Holy Cacao,Hispaniola,431,2009,70%,Israel,2.75, ,Dominican Republic
El Rey,"Carenero Superior, Apamate",206,2008,74%,Venezuela,2.5,Criollo,Venezuela
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5, ,Peru
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5, ,Peru
Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya",445,2009,72%,Belgium,3.0,Criollo,Mexico
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines
Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,75%,France,2.75,Trinitario,Vietnam
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5, ,Peru
Coppeneur,Grenada,470,2010,72%,Germany,3.25,Trinitario,Grenada
Hachez,Arriba,166,2007,77%,Germany,2.5,Forastero (Arriba),Ecuador
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3.0,Criollo,Venezuela
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil
Zart Pralinen,"Millot P., Ambanja",1820,2016,70%,Austria,3.5,"Criollo, Trinitario",Madagascar
To'ak (Ecuatoriana),Manabi,1418,2014,81%,Ecuador,3.25,Forastero (Nacional),Ecuador
Michel Cluizel,Carre Grand Noir,24,2006,85%,France,2.0, , 
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica
Erithaj (A. Morin),Ham Luong,1209,2014,80%,France,3.0,Trinitario,Vietnam
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5, ,Costa Rica
Olivia,Carribean,688,2011,76%,Canada,2.75, ,Carribean
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
Coppeneur,Chuao 100hr,451,2009,70%,Germany,3.5,"Criollo, Trinitario",Venezuela
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3.0, ,Ecuador
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3.0,Trinitario,Madagascar
Ethereal,Belize,1275,2014,80%,U.S.A.,3.0,Trinitario,Belize
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras
Soma,Eastern Promises,967,2012,70%,Canada,3.5,Blend,"Mad., Java, PNG"
Domori,Morogoro,863,2012,70%,Italy,3.5, ,Tanzania
Hoja Verde (Tulicorp),Arriba,414,2009,72%,Ecuador,3.0,Forastero (Arriba) ASS,Ecuador
Emerald Estate,Emerald Estate,1137,2013,70%,St. Lucia,3.25, ,St. Lucia
Cote d' Or (Kraft),Sensations Intense,48,2006,70%,Belgium,1.0, , 
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,68%,Switzerland,2.75,Trinitario,Brazil
Snake & Butterfly,Ecuador,502,2010,68%,U.S.A.,3.25, ,Ecuador
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",341,2009,68%,Switzerland,3.25, ,Bolivia
Amedei,Ecuador,123,2007,70%,Italy,3.0,Trinitario,Ecuador
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,70%,Austria,3.5,"Criollo, Trinitario",Tanzania
Dandelion,Papua New Guinea,1153,2013,70%,U.S.A.,3.5, ,Papua New Guinea
Tejas,Espada,833,2012,70%,U.S.A.,3.25, ,Mexico
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64%,U.S.A.,3.0, ,Papua New Guinea
Tablette (aka Vanillabeans),Trinidad,1680,2015,77%,Japan,2.75,Trinitario,Trinidad
Palette de Bine,Lam Dong,1574,2015,72%,Canada,3.75,Trinitario,Vietnam
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",761,2011,70%,Germany,3.5,Criollo,Bolivia
Pralus,"Porcelana, S. of Lake Maracaibo",717,2011,75%,France,3.25,Criollo (Porcelana),Venezuela
Videri,Dark,1117,2013,90%,U.S.A.,3.75, ,Central and S. America
Terroir,Ecuador,1323,2014,77%,U.S.A.,3.25, ,Ecuador
Damson,Los Rios,1610,2015,70%,U.K.,3.5, ,Ecuador
Spencer,Dominican Republic,1932,2017,70%,U.S.A.,3.75, ,Dominican Republic
Night Owl,Peru,1022,2013,75%,U.S.A.,2.75, ,Peru
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25, ,Ecuador
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5, ,Venezuela
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada
Raaka,Virunga,1708,2015,75%,U.S.A.,2.75,Forastero,Congo
Ritual,"Toledo District, Maya",1089,2013,75%,U.S.A.,3.75,Trinitario,Belize
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru
Luker,Santander,552,2010,65%,Colombia,3.5, ,Colombia
Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71%,U.S.A.,2.75, ,Domincan Republic
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,70%,Canada,4.0,Trinitario,Jamaica
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Fruition,Costa Rica,781,2011,70%,U.S.A.,3.0, ,Costa Rica
C-Amaro,Trinidad,765,2011,70%,Italy,2.5,Trinitario,Trinidad
Nahua,"Costa Rica, Oscuro",1049,2013,70%,Costa Rica,3.0, ,Costa Rica
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5, ,Brazil
Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85%,U.S.A.,3.25, ,Brazil
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua
Upchurch,"Madagascar, Sassy Bar",1752,2016,72%,U.S.A.,3.0,Trinitario,Madagascar
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5, ,Ecuador
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica
Potomac,"Oko Caribe, Duarte Province, 2016 H.",1820,2016,70%,U.S.A.,3.75, ,Domincan Republic
Terroir,Madagascar,1478,2015,70%,U.S.A.,3.75,Trinitario,Madagascar
Szanto Tibor,Porcelana,1263,2014,70%,Hungary,3.5,Criollo,Venezuela
Pitch Dark,Akesson Estate,1311,2014,73%,U.S.A.,3.25,Trinitario,Madagascar
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru
Laia aka Chat-Noir,Cuba,1434,2014,70%,France,2.75, ,Cuba
Mast Brothers,Papua New Guinea,777,2011,71%,U.S.A.,2.75, ,Papua New Guinea
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend, 
Ambrosia,Peru,1498,2015,68%,Canada,3.5, ,Peru
Potomac,Bahia,789,2011,70%,U.S.A.,3.5, ,Brazil
Coppeneur,Chuao 70hr,451,2009,70%,Germany,3.75,"Criollo, Trinitario",Venezuela
Parliament,Kilombero Valley,1856,2016,70%,U.S.A.,3.25, ,Tanzania
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75%,U.S.A.,2.75, ,Brazil
Soma,Java,1030,2013,70%,Canada,3.25,Criollo,Indonesia
Zotter,Amazonas Frucht,801,2012,65%,Austria,3.5, , 
Davis,West Africa,907,2012,58%,U.S.A.,3.25,Forastero,West Africa
Solstice,Sambirano,1157,2013,70%,U.S.A.,3.0,Trinitario,Madagascar
Q Chocolate,Brazil,1057,2013,85%,Brazil,3.5, ,Brazil
La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,70%,Japan,3.0,"Trinitario, Criollo",Belize
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil
ChocoReko,Patanemo,1454,2015,77%,Japan,3.0,Criollo,Venezuela
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75, ,Ecuador
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,70%,Canada,3.5,Trinitario,Madagascar
Momotombo,Oscuro,772,2011,70%,Nicaragua,3.25, ,Nicaragua
organicfair,Caribe,1165,2013,72%,Canada,3.0, ,Dominican Republic
Sacred,Twilight,813,2012,69%,U.S.A.,3.25, ,Central and S. America
Felchlin,Supremo- SF,105,2006,62%,Switzerland,2.0, , 
Pitch Dark,Johe,1506,2015,80%,U.S.A.,2.75, ,Nicaragua
Shark Mountain,Ecuador,1335,2014,75%,U.S.A.,3.0,Trinitario,Ecuador
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70%,U.S.A.,3.5, ,Honduras
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5, ,Costa Rica
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown",24,2006,60%,U.S.A.,3.0, ,Hawaii
Olive and Sinclair,Dominican Republic prototype,486,2010,72%,U.S.A.,3.0, ,Dominican Republic
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75, ,Papua New Guinea
Pomm (aka Dead Dog),Peru,829,2012,82%,U.S.A.,2.75,Criollo,Peru
Starchild,"Bolivar, Arriba",1634,2015,70%,U.S.A.,3.0,Forastero (Nacional),Ecuador
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3.0, ,Dominican Republic
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
Fruition,Maranon,1359,2014,76%,U.S.A.,3.0,Forastero (Nacional),Peru
Santander (Compania Nacional),Colombian,32,2006,65%,Colombia,3.0,Forastero (Nacional),Colombia
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66%,U.K.,3.5,Trinitario,Grenada
Nibble,Patanemo,1526,2015,72%,U.S.A.,2.25,Criollo,Venezuela
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador
Finca,Puerto Rico,1283,2014,65%,U.S.A.,2.25, ,Puerto Rico
"Smooth Chocolator, The","Maranon, batch 2",1666,2015,67%,Australia,3.0,Forastero (Nacional),Peru
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5, ,Dominican Republic
K'ul,"Kafupbo, Petit Bourg, De Borgnes",1840,2016,70%,U.S.A.,3.25, ,Haiti
Willie's Cacao,Sambirano,593,2010,71%,U.K.,3.0,Trinitario,Madagascar
Indaphoria,"Conacado, Manifesto",907,2012,70%,U.S.A.,2.75, ,Dominican Republic
Willie's Cacao,"Java, Indonesian Black",1109,2013,100%,U.K.,2.25, ,Indonesia
A. Morin,Colombie,1015,2013,70%,France,2.75, ,Colombia
Lindt & Sprungli,Excellence (US Version),157,2007,85%,Switzerland,3.0, , 
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3.0,Criollo,Mexico
Soma,Black Science Blend 1,607,2010,70%,Canada,3.75,"Trinitario, Nacional","DR, Ecuador, Peru"
Orquidea,Peru,859,2012,72%,Peru,3.0, ,Peru
Emily's,Patanemo,1450,2015,79%,Japan,3.0, ,Venezuela
Rogue,"Hispaniola, 2013",1081,2013,70%,U.S.A.,3.5, ,Dominican Republic
Potomac,"Upala, Batch 18",654,2011,70%,U.S.A.,3.0,Matina,Costa Rica
Isidro,Peru,1279,2014,72%,U.S.A.,2.25, ,Peru
Cravve,New Ireland,1283,2014,70%,Australia,2.5,Forastero,Papua New Guinea
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5, ,Ecuador
Quetzalli (Wolter),"Uranga, Lot 22032016",1800,2016,74%,Mexico,3.0,Trinitario,Mexico
La Pepa de Oro,Vinces,713,2011,60%,Ecuador,3.25, ,Ecuador
Just Good Chocolate,Peru,1375,2014,70%,U.S.A.,4.0, ,Peru
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5, ,Venezuela
Bonnat,Juliana,672,2011,75%,France,3.5, ,Brazil
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada
Nuance,"Sambirano Valley, 2012",1458,2015,70%,U.S.A.,3.5,Trinitario,Madagascar
"Smooth Chocolator, The","Chimelb, Lanquin, Alta Verapaz, b-GUA001",1908,2016,70%,Australia,3.25, ,Guatemala
S.A.I.D.,Arawak,615,2010,72%,Italy,3.5, ,Carribean
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5, ,Venezuela
Harper Macaw,Brazil Blend,1696,2015,67%,U.S.A.,3.0, ,Brazil
Mast Brothers,Patanemo,572,2010,81%,U.S.A.,2.75,Criollo,Venezuela
Stella (aka Bernrain),India,729,2011,72%,Switzerland,3.25, ,India
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3.5, ,Dominican Republic
Escazu,Carenero Superior,423,2009,81%,U.S.A.,3.5,Criollo,Venezuela
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70%,Japan,3.0,Criollo,Peru
Snake & Butterfly,Ghana,693,2011,67%,U.S.A.,1.5,Forastero,Ghana
Dean and Deluca (Belcolade),Ecuador,175,2007,71%,U.S.A.,3.0, ,Ecuador
Mast Brothers,San Martin,777,2011,75%,U.S.A.,3.0, ,Peru
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25, ,Ecuador
Scharffen Berger,Ben Tre,445,2009,72%,U.S.A.,3.75,Trinitario,Vietnam
Ocelot,Piura,1558,2015,75%,Scotland,4.0,Criollo,Peru
Rogue,Piura,565,2010,75%,U.S.A.,3.75, ,Peru
Mars,Nigeria,544,2010,65%,U.S.A.,3.25, ,Nigeria
Duffy's,Ocumare,765,2011,71%,U.K.,3.5, ,Venezuela
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5, ,Peru
Pralus,"Java, Indonesie",32,2006,75%,France,3.5,Criollo,Indonesia
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5, ,Honduras
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,100%,U.K.,2.5,Forastero (Nacional),Ecuador
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75, ,Dominican Republic
S.A.I.D.,Samana,615,2010,70%,Italy,3.0, ,Dominican Republic
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70%,Australia,4.0,Criollo,Ecuador
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67%,U.S.A.,3.75, ,Hawaii
Amano,Guayas,470,2010,70%,U.S.A.,4.0, ,Ecuador
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
hexx,Madagascar,1546,2015,74%,U.S.A.,3.0,Trinitario,Madagascar
Mast Brothers,"Chuao, Light Roast",713,2011,81%,U.S.A.,2.75,Trinitario,Venezuela
Pump Street Bakery,"Patanemo Vil., Carabobo State, Tisano family",1223,2014,75%,U.K.,2.75,Trinitario,Venezuela
Zotter,Kerala State,749,2011,65%,Austria,3.5,Forastero,India
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75, ,Papua New Guinea
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5, ,Brazil
Soma,Equator,1081,2013,67%,Canada,4.0, ,"Peru, Dom. Rep"
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70%,U.K.,4.0,Trinitario,St. Lucia
Dean and Deluca (Belcolade),Costa Rica,175,2007,64%,U.S.A.,3.0, ,Costa Rica
A. Morin,Bolivia,797,2012,70%,France,3.5, ,Bolivia
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3.0,Trinitario,Dominican Republic
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4.0,Trinitario,Venezuela
